sample_name	alt	altitude	anonymized_name	cage	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	hepatic_tg	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	liver_weight	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	sick	surger_bw	taxon_id	title	treatment_one	treatment_two
13052.5499	73.814	Not applicable	5499	1	2017-05-23 11:00	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	16.65676077	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 1	10090	25.2	g	32.5	1.73	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	26	410661	KZALD	Alcohol	GTA
13052.5500	54.651	Not applicable	5500	1	2017-05-23 11:01	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	16.46359584	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 2	10090	25.4	g	32.5	1.93	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Alcohol	GTA
13052.5501	62.120	Not applicable	5501	1	2017-05-23 11:02	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	24.36849926	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 3	10090	25	g	32.5	1.731	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25.7	410661	KZALD	Alcohol	GTA
13052.5502	65.940	Not applicable	5502	1	2017-05-23 11:03	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	25.20059435	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 4	10090	23.4	g	32.5	1.63	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24.5	410661	KZALD	Alcohol	GTA
13052.5503	219.986	Not applicable	5503	1	2017-05-23 11:04	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	10.86181278	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 5	10090	23.7	g	32.5	1.88	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	26	410661	KZALD	Alcohol	GTA
13052.5504	94.875	Not applicable	5504	1	2017-05-23 11:05	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	23.06092125	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 6	10090	24.9	g	32.5	1.77	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Alcohol	Glycerol
13052.5505	110.517	Not applicable	5505	1	2017-05-23 11:06	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	24.68053492	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 7	10090	24.4	g	32.5	1.78	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Alcohol	Glycerol
13052.5506	31.498	Not applicable	5506	1	2017-05-23 11:07	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	19.49479941	20	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 8	10090	26.8	g	32.5	1.7	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	28	410661	KZALD	Alcohol	Glycerol
13052.5507	3.800	Not applicable	5507	1	2017-05-23 11:08	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	18.41010401	21	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 9	10090	22	g	32.5	1.5	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	TRUE	25	410661	KZALD	Alcohol	Glycerol
13052.5508	13.830	Not applicable	5508	1	2017-05-23 11:09	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	3.016344725	19	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 10	10090	24.7	g	32.5	1.226	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Glucose	GTA
13052.5509	0.157	Not applicable	5509	1	2017-05-23 11:10	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	2.897473997	19	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 11	10090	24.1	g	32.5	1.196	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Glucose	GTA
13052.5510	0.386	Not applicable	5510	1	2017-05-23 11:11	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	7.563150074	19	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 12	10090	25.2	g	32.5	1.195	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Glucose	GTA
13052.5511	35.254	Not applicable	5511	1	2017-05-23 11:12	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	11.78306092	19	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 13	10090	24.8	g	32.5	1.195	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Glucose	Glycerol
13052.5512	14.598	Not applicable	5512	1	2017-05-23 11:13	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	3.164933135	19	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 14	10090	24.8	g	32.5	1.258	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24	410661	KZALD	Glucose	Glycerol
13052.5513	18.055	Not applicable	5513	1	2017-05-23 11:14	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	5.601783061	19	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 15	10090	24.8	g	32.5	1.288	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24	410661	KZALD	Glucose	Glycerol
13052.5514	152.597	Not applicable	5514	2	2017-05-23 11:15	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	18.36552749	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 16	10090	24.1	g	32.5	1.86	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24	410661	KZALD	Alcohol	GTA
13052.5515	130.405	Not applicable	5515	2	2017-05-23 11:16	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	11.01040119	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 17	10090	23.8	g	32.5	1.56	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	24	410661	KZALD	Alcohol	GTA
13052.5516	43.790	Not applicable	5516	2	2017-05-23 11:17	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	18.60326895	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 18	10090	23.2	g	32.5	1.55	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Alcohol	GTA
13052.5517	182.856	Not applicable	5517	2	2017-05-23 11:18	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	23.50668648	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 19	10090	23	g	32.5	1.6	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	23	410661	KZALD	Alcohol	GTA
13052.5518	114.934	Not applicable	5518	2	2017-05-23 11:19	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	17.69687964	27	weeks	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	mouse 20	10090	23.4	g	32.5	1.55	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	25	410661	KZALD	Alcohol	GTA
