Timepoint	Time difference	Hours	AF11	AF12	AF1C	AF21	AF22	AF2C	AF31	AF32	RF11	RF12	RF21	RF22	RF2C	RF31	RF32	EC
0	0	0	34.60196696	48.18115684	0.229451686	31.02460871	33.93641839	0.229451686	55.79956382	36.84572914	28.14861704	37.38966308	30.9454759	35.72037731	0.229451686	29.28313161	33.1370382	38.86930776
1	27	27	35.85143235	47.72940568	0.229451686	30.66504034	32.90408232	0.229451686	55.06071329	37.66371249	27.65105215	38.12629234	30.66198609	34.02832351	0.229451686	29.28924011	33.95391091	37.20029966
2	23.75	50.75	37.23278576	46.88754367	0.229451686	32.57672239	35.24974535	0.229451686	55.90424126	36.96900973	29.12375536	36.5428032	32.06194265	34.38567062	0.229451686	30.41403662	34.70608907	37.35967591
3	22.75	73.5	35.82088986	47.27848751	0.229451686	31.1323404	34.97569594	0.229451686	56.96684216	37.10339667	27.62745114	38.24429741	32.54784585	33.44551732	0.229451686	30.57230224	35.24696876	37.24750168
4	21	94.5	34.23656775	47.06663371	0.229451686	30.71751788	34.119118	0.229451686	54.72668954	38.63801783	27.43808772	37.94414805	32.44761096	34.65694344	0.229451686	30.84579633	34.68276572	37.50461389
5	26	120.5	35.22558902	47.24600141	0.229451686	31.72986251	33.81535908	0.229451686	55.37502325	35.66345722	28.6159171	38.42699701	33.22811035	33.38998553	0.229451686	29.79402413	34.11661907	37.2263996
6	22.25	142.75	36.39897585	47.04608694	0.229451686	30.65393398	34.77272723	0.229451686	54.8738488	37.29942391	27.56803212	38.32731744	30.83219104	34.03637562	0.229451686	30.92937168	34.64000624	37.16420399
7	51.25	194	36.26569954	45.84049167	0.229451686	32.05083629	35.5079682	0.229451686	56.02058037	38.06881693	28.47181209	37.34190573	31.84842289	32.2971198	0.229451686	29.56551079	33.83923775	37.16420399
																		
																		
																		
																		
																		
																		
																		
																		
																		
