	Control_3_S6	Control_1_S4	Alcohol_2_S2	Alcohol_1_S1	Control_2_S5	Alcohol_3_S3
bin.1	0.0008605146697262744	0.00446648090476971	0.19656613669890183	2.467669234551713	0.6001884936895591	0.00028683822324209146
bin.10	0.0008089149673415674	0.0009055018291136948	0.018327357021261183	0.013836067948857257	0.0009417219022782426	0.0353145713354341
bin.100	0.10941080411936682	0.18221086733215688	0.0012642558010904207	0.008823451945110227	0.20480943977664814	0.001922722364158348
bin.106	1.1224772324201357e-05	0.0	0.0004901483914901259	0.00043402452986911915	0.0	0.0018483458427184902
bin.107	9.881413625622411e-05	0.0003425556723549103	0.0015687920489440533	0.0028844316916697803	0.00014775066087835414	0.008439668323293504
bin.109	0.0	0.0	0.24850694717697158	0.04668467948549793	0.0008744086811293862	0.0006120860767905704
bin.110	0.0	0.0	0.038089256976881106	0.12747183734348627	0.00123248420143659	0.028182282058327117
bin.118	0.0	0.0	0.028417878422515724	0.010415126122038708	0.00023311834641386278	0.031516096445822546
bin.119	0.0	0.0	0.09087761715845692	0.12686656110061126	3.405356625972655e-05	0.06311828506240316
bin.120	0.0020458265139116204	0.006955810147299509	0.014729950900163666	0.01718494271685761	1.3488134206219313	0.055032733224222585
bin.123	0.00010929055429597596	0.00021429520450191365	0.0042044719123275455	0.025456127342782322	2.3572472495210503e-05	0.028456260205809113
bin.124	0.006286736519294659	0.004096235989923698	0.0	0.0	0.004694972801285093	0.0
bin.125	0.4223475140953357	0.9246540235776525	0.011019989748846746	0.0017939518195797027	0.3416196822142491	0.010763710917478216
bin.130	0.0016421213871706832	0.0012137418948652877	0.00046732308251497707	0.0008567589846107912	0.0013175914687575047	0.003440017135179692
bin.131	0.0	0.0	0.003753212735344393	0.0007353935831375973	0.00015003012900131584	0.008731261605814283
bin.135	0.00026797079118376095	0.0	0.0009378977691431634	0.0006029342801634622	0.30240503785087425	0.0018088028404903865
bin.138	0.008445018569352494	0.006329727111254642	0.010285806555788793	0.005506216696269982	0.025625706442757953	0.026869045696754402
bin.142	6.0219197880284235e-05	3.0109598940142117e-05	0.5326990244489943	0.5126159219559195	0.006443454173190413	1.1074912682163074
bin.143	0.06870683985531076	0.012598651759289708	0.07682505754685959	0.2609544557711279	0.012023183163433081	0.30851282472870767
bin.147	0.0	0.00019179133103183735	0.8605677023398542	4.8115330520393815	0.00044751310574095383	15.73826876358522
bin.153	0.020182488367877213	0.012145748987854251	0.1032086530908212	0.04936854190585534	0.009003565170100912	0.14254637742461782
bin.155	3.1447900656081825e-05	3.537888823809206e-05	0.00020441135426453187	0.030473015735743292	8.648172680422503e-05	0.01873115582827874
bin.159	0.0	0.0	0.04655996956687137	0.019536981685777947	9.510352698222923e-05	0.006874626379001141
bin.16	0.00016969285593076533	0.0007105888342100798	0.045477685389445105	0.034256745291023245	0.0009545223146105549	0.0761602749024266
bin.160	0.0	0.19339622641509435	0.08455364686003942	0.034778935511123626	0.5580822303576457	0.045691354548014644
bin.161	0.06061911502246292	0.07286602252446304	0.5512031509631362	1.7853098652224753	0.017601083143578066	4.998153732537387
bin.167	0.011145272867025366	0.14565718677940045	5.859338970023059	0.27767102229054574	0.02498078401229823	1.9046887009992313
bin.171	0.16250808015513898	0.015513897866839044	0.0018099547511312218	0.0018099547511312218	0.009696186166774402	0.009308338720103426
bin.174	0.03344597952489812	0.07275618725772787	0.923367458503131	5.334956763741179	0.022115097902792962	8.147947520127223
bin.178	0.012364896616541353	0.004611137218045113	0.009134163533834587	0.0069901315789473685	0.1300810620300752	0.005756578947368421
bin.188	0.0	0.0	0.004130045474178723	0.004261080994511068	0.0	0.010730353164993134
bin.189	0.0	0.0	0.012808828441702511	0.03438506488954138	0.0	5.498531204851904e-06
bin.19	0.00026619815790874726	0.0018101474737794814	0.25304796890805514	0.4163871586008625	0.0007985944737262418	1.0085715806846616
bin.191	0.004101545210437793	0.002114705564134594	0.005262174310753523	0.0007671955069883642	0.002636005075293354	0.003285170504283508
bin.196	0.007529187514891589	0.0017949328885712016	0.05836444020861462	0.006777327720858814	0.00025944457681412647	0.02867127313160194
bin.197	0.0	0.0	0.00023917723032767282	1.1258507099215065	0.0	0.004500880607075298
bin.2	6.317239113817697e-06	3.7903434682906185e-05	0.0013392546921293519	0.22027581065970928	4.422067379672388e-05	0.7650239739224369
bin.202	0.00013149854191322644	6.768307304357243e-05	0.02017922477741938	0.023954006451163763	5.8014062608776366e-06	0.1845524021689524
bin.204	0.01198201984655606	0.0018094132229638758	0.007793299472135749	0.011604465118929739	7.123674106156992e-05	0.022197368514785185
bin.208	0.015510493004663558	0.0030396402398401067	0.003601765489673551	0.0016239173884077282	0.0008744170552964691	0.010118254497001999
bin.210	0.0699021867796399	0.09395053267709177	0.06074387888605071	0.14890038003862688	0.039997507943430315	0.08360849791290262
bin.213	0.00011742602160638798	0.0019962423673085955	0.11120244246124941	0.03687177078440582	0.8351338656646313	0.05237200563644904
bin.214	0.0002501547616440125	0.00021787672788349476	1.1527869200184907e-06	3.227803376051774e-05	0.0033188735427332346	0.0
bin.217	0.017848001116954438	0.01438078838367385	0.004537627402615535	0.0015358123516544888	0.018964955554521337	0.00016288918881183972
bin.218	0.013902334691672107	0.01057027714613774	0.005842357655852489	0.00773352545196659	0.00013508341400815004	0.004041245469077155
bin.221	0.004211613235093877	0.00245850795043648	0.0	0.0	0.0025265897090639513	1.8911599618742152e-06
bin.222	0.0	1.4717786444918684e-05	0.01555670027227905	0.003856060048568695	2.9435572889837368e-05	0.08486275664140114
bin.27	0.004384610634224665	0.0006793058729080467	0.2527017847217934	0.23318717964552585	0.0007410609522633236	0.05644414253072315
bin.3	0.00835437985589727	0.004184071624699786	0.00011698884476956638	0.00016516072202762313	0.006503203429837661	0.00020645090253452891
bin.35	0.00029530397201213177	0.0011204180114577941	0.0	0.0	0.0004325334648883577	0.0
bin.37	6.678242286630158e-05	5.0086817149726195e-05	0.00020034726859890478	0.0007179110458127421	0.03938493388540136	0.0008013890743956191
bin.4	0.001259072729965931	0.0003703155088135091	0.1216856761961191	0.03540216264257147	0.23811287216708635	0.14071989334913346
bin.40	0.0	0.0	0.182168409466153	0.16877637130801687	0.06879471656576774	0.09906439185470556
bin.41	0.09716549077856171	0.2782935181746916	0.0798366134422577	0.4817427899492511	0.14114783182737137	1.020010727400256
bin.45	3.990973144378896e-05	9.070393509952036e-05	0.015049596911712418	0.0035447097836892555	8.707577769553955e-05	0.018605191167613614
bin.46	0.009217849168527343	0.01873562835338421	0.0013330222947978804	0.004285666677775185	0.00043323224580931114	0.001606291865231446
bin.5	0.0021208907741251328	0.0017674089784376105	1.7214563449982325	0.0	0.0	34.656769176387414
bin.55	0.0010721582748366475	0.0004248174296522566	0.10573908118058786	0.1909048611251593	0.0022859223595573805	0.2958145368478547
bin.56	0.00020179352309316207	0.0002040110343359441	0.002448132412031329	0.009759266979483585	4.4350224855640015e-05	0.02397129653447343
bin.57	0.0	0.0	0.05634335413121573	0.01600806705741476	9.453582907922102e-05	0.16471292619902944
bin.6	0.1804245283018868	0.08726415094339622	0.0014319407008086254	0.002274258760107817	0.2611185983827493	0.015414420485175202
bin.61	0.017253080907304878	0.04318628326486872	0.006322557599571352	0.000893016610108948	0.009001607429898197	0.02700482228969459
bin.63	0.0	1.1532628689720391e-05	0.0005766314344860196	0.0920765074587276	5.7663143448601955e-06	0.3112483493925188
bin.66	0.009994971728801733	0.02389968085870558	1.0261777955648596e-05	0.0	0.007439789017845232	8.209422364518877e-05
bin.68	0.003595329631211733	0.008436565570269115	0.09643314822725331	0.2292823579666809	0.0016018795386586928	0.07507475437847073
bin.69	0.0	0.0	0.39036910290882426	0.0032999266682962602	0.00494989000244439	0.5360547543387925
bin.70	3.0778701138811943e-06	3.0778701138811943e-06	0.03795629424438289	0.012693136349646045	3.0778701138811943e-06	0.11675592489996922
bin.71	0.09458855866689572	0.15708641126954132	0.06686136402679951	0.06301322796770314	0.04552482391341694	0.13678062188627382
bin.72	0.03166735508742944	0.7218780118408371	0.004681261186837395	0.20817843866171004	0.07847996695580339	0.25609252375051633
bin.75	0.0902566933480541	0.06686447695280155	0.010833563345293956	0.46791333149323766	0.3016146839635661	0.2408225227711841
bin.77	0.0014757634237711431	0.006016573958451584	0.3015098195027813	0.267794301282779	0.002383925530707231	12.621296401407651
bin.78	0.0003014902231027651	0.00038763028684641226	0.0022396416573348264	0.006202084589542596	0.12774571453182876	0.018692393832371437
bin.8	0.02430039423511924	0.007432301428294448	1.2045498610482777	1.4966716215342855	0.17294642280100822	3.955276934014089
bin.82	8.1236653978275e-05	4.6420945130442855e-05	0.4280823507566614	0.43625243709961936	0.0010096555565871322	0.3476348528456039
bin.90	2.7296727122418022e-05	3.119625956847774e-05	0.014155302779196775	0.013866737378188354	1.1698597338179153e-05	0.07393513517729225
bin.94	0.05529661016949153	0.21459216101694914	0.3270127118644068	0.03122351694915254	0.14888771186440677	0.024655720338983052
bin.99	0.0012042506794252145	0.0006590831421178538	4.424872658627479	1.6680255170954776	0.000911324838483946	2.957688489641817
