	Control_3_S6	Control_1_S4	Alcohol_2_S2	Alcohol_1_S1	Control_2_S5	Alcohol_3_S3
Alcohol_metabolism;butanol_biosynthesis.	180.82521513918928	144.84644525711414	301.66320507586124	524.3590410208086	409.14225363485565	400.73712654730474
Alcohol_metabolism;ethanol_biosynthesis_via_fermentation_pathway.	0.4375	1.0902777777777777	28.0	23.63888888888889	0.125	53.763888888888886
Alcohol_metabolism;ethanol_degradation;acetate_from_ethanol:_step_2/2.	182.35469431800544	409.7438503355305	445.11463621040866	460.36746382550405	250.07115418525626	525.4114855046706
Alkene_biosynthesis;ethylene_biosynthesis_via_S-adenosyl-L-methionine;ethylene_from_S-adenosyl-L-methionine:_step_1/2.	764.7449474558872	1087.0523408441395	1855.802799225934	933.4097296633328	1562.5389272680284	2117.2629200853416
Alkene_metabolism;propylene_degradation.	429.2258724419616	430.95274091954593	620.1540711622896	920.3027892024076	364.7711107839388	792.949937827435
Amine_and_polyamine_biosynthesis;1,3-diaminopropane_biosynthesis;1,3-diaminopropane_from_L-aspartate_4-semialdehyde:_step_1/2.	0.0	0.0	76.42099567099568	192.92045454545456	0.011904761904761904	46.929653679653676
Amine_and_polyamine_biosynthesis;1,3-diaminopropane_biosynthesis;1,3-diaminopropane_from_L-aspartate_4-semialdehyde:_step_2/2.	14.64090260206845	20.929084183241397	21.10577132034563	69.55672936611302	40.06899133356802	60.25833321290199
Amine_and_polyamine_biosynthesis;S-adenosylmethioninamine_biosynthesis;S-adenosylmethioninamine_from_S-adenosyl-L-methionine:_step_1/1.	23.992307692307694	24.323076923076925	38.193400966672854	64.36732499451394	19.415983862527643	125.41550362080316
Amine_and_polyamine_biosynthesis;agmatine_biosynthesis;agmatine_from_L-arginine:_step_1/1.	274.96345404009776	198.06726452570837	439.0653004470194	461.0628098011528	329.6360135539208	467.3754045832721
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_choline_pathway.	50.57039800995025	35.80310945273632	127.14078532620967	64.84231545145683	124.02413623970543	44.375348031841895
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_choline_pathway;betaine_aldehyde_from_choline_(cytochrome_c_reductase_route):_step_1/1.	0.0	0.0	98.0	79.0	0.0	95.0
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_choline_pathway;betaine_aldehyde_from_choline_(dehydrogenase_route):_step_1/1.	203.38834628358393	201.97839267376668	350.1051212976686	267.8757301167814	345.5670612930902	157.48732220538346
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_choline_pathway;betaine_aldehyde_from_choline_(monooxygenase_route):_step_1/1.	0.0	0.0	27.5	44.25	0.0	14.5
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_choline_pathway;betaine_from_betaine_aldehyde:_step_1/1.	182.35469431800544	409.7438503355305	445.11463621040866	460.36746382550405	250.07115418525626	525.4114855046706
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_choline_pathway_[regulation].	82.01478490184766	194.85820283504205	418.04138873567706	526.2883567482671	179.90504685385037	648.8351601186789
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_glycine_pathway;betaine_from_glycine:_step_2/3.	240.96881843660907	399.049131361972	404.27783777808656	315.5801275736011	127.48308238778854	437.63100683798314
Amine_and_polyamine_biosynthesis;betaine_biosynthesis_via_glycine_pathway;betaine_from_glycine:_step_3/3.	240.96881843660907	399.049131361972	404.27783777808656	315.5801275736011	127.48308238778854	437.63100683798314
Amine_and_polyamine_biosynthesis;carnitine_biosynthesis.	183.10469431800544	410.4938503355305	454.61463621040866	485.11746382550405	250.07115418525626	529.9114855046706
Amine_and_polyamine_biosynthesis;choline_biosynthesis;choline_from_choline_sulfate:_step_1/1.	366.7482967653021	499.27360468027365	418.4056919875194	599.1729296944395	442.5414336519279	763.6692484857276
Amine_and_polyamine_biosynthesis;creatine_biosynthesis;creatine_from_L-arginine_and_glycine:_step_1/2.	0.0	0.0	3.238095238095238	5.7142857142857135	0.2380952380952381	13.238095238095234
Amine_and_polyamine_biosynthesis;ectoine_biosynthesis.	162.8375112096668	313.0777733682646	274.41189299836185	296.7879990163499	433.82262963531423	485.62925683429273
Amine_and_polyamine_biosynthesis;ectoine_biosynthesis;L-ectoine_from_L-aspartate_4-semialdehyde:_step_1/3.	0.0	0.0	76.42099567099568	192.92045454545456	0.011904761904761904	46.929653679653676
Amine_and_polyamine_biosynthesis;ectoine_biosynthesis;L-ectoine_from_L-aspartate_4-semialdehyde:_step_2/3.	164.0952348994808	231.84731836111106	356.6380994418982	415.1410677689377	307.64644435023735	501.76192881888005
Amine_and_polyamine_biosynthesis;histamine_biosynthesis;histamine_from_L-histidine:_step_1/1.	14.64090260206845	20.929084183241397	21.10577132034563	69.55672936611302	40.06899133356802	60.25833321290199
Amine_and_polyamine_biosynthesis;putrescine_biosynthesis_via_L-ornithine_pathway;putrescine_from_L-ornithine:_step_1/1.	402.38847778845684	707.5607294025905	608.186409262928	788.4306791522973	593.3531565170424	951.2901457015231
Amine_and_polyamine_biosynthesis;putrescine_biosynthesis_via_agmatine_pathway;N-carbamoylputrescine_from_agmatine:_step_1/1.	82.65254857675524	109.9389250372627	40.974006190788586	72.88742713425478	90.25343297364414	142.72820907224764
Amine_and_polyamine_biosynthesis;putrescine_biosynthesis_via_agmatine_pathway;putrescine_from_N-carbamoylputrescine_(amidase_route):_step_1/1.	3.6666666666666665	50.33333333333334	0.0	0.0	9.0	0.0
