Bin ID,Completeness (%),Contamination (%),GC(%),N50 (scaffolds),Genome size (bp),Taoxnomy
Bin1,86.58,1.013,0.376,7330,2975548,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin2,97.7,3.639,0.458,32568,4389457,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin3,83.58,0.377,0.53,79858,2313254,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin4,68.79,3.579,0.58,4020,2669935,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin5,66.18,1.098,0.512,3546,648041,Bacteria;Proteobacteria
Bin6,92.34,0.239,0.519,6296,1805373,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae
Bin8,77.43,0.986,0.477,6211,1844429,Bacteria
Bin10,96.41,2.012,0.551,35964,2299103,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin16,93.3,1.776,0.498,27499,3263208,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin19,92.6,0.052000000000000005,0.341,13337,1508657,Bacteria;Firmicutes
Bin27,78.84,1.21,0.512,5318,3680110,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae
Bin35,99.62,0.185,0.445,227261,3243105,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin37,86.74,1.858,0.527,23775,2407301,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin40,68.11,2.295,0.506,7327,1457309,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin41,93.96,3.448,0.318,9955,2032636,Bacteria
Bin45,98.67,0.754,0.484,94351,3076714,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin46,97.76,0.743,0.433,32647,4253045,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
Bin55,89.78,0.268,0.517,23241,2171326,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin56,99.42,1.538,0.449,113563,4961413,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae
Bin57,83.25,1.6769999999999998,0.588,17704,1721669,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin61,92.69,0.353,0.361,14294,1484326,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter
Bin63,94.71,1.149,0.431,49001,3259345,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin66,95.56,0.858,0.476,52113,1873317,Bacteria
Bin68,88.89,1.949,0.522,10545,2261680,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
Bin69,75.03,3.02,0.64,7450,1954361,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin70,92.98,0.877,0.451,59406,4129120,Bacteria;Firmicutes;Clostridia;Clostridiales
Bin71,93.72,0.158,0.392,8234,3123149,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin72,71.22,3.58,0.353,4861,1226210,Bacteria;Candidatus Melainabacteria;Candidatus Melainabacteria bacterium MEL.A1
Bin75,80.56,0.158,0.493,7505,1877793,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales
Bin77,62.58,1.089,0.464,3698,2146320,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin78,65.61,0.316,0.449,10106,2255306,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin82,96.83,2.011,0.48,20062,4017366,Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae
Bin90,99.43,0.754,0.481,92502,2917389,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae
